TAZID,P_TOTHH,P_HHPOP,P_TOTEMP,P_RETL,P_FOOD,P_MANU,P_WSLE,P_OFFI,P_GVED,P_HLTH,P_OTHR,P_FM_AGRI,P_FM_MING,P_FM_CONS,P_HBJ
1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1354,80,195,200,10,15,5,0,100,30,15,25,0,0,40,20
1355,5,10,40,5,0,0,0,10,10,5,10,0,0,0,0
1356,5,10,10,0,0,0,0,5,0,0,5,0,0,5,0
1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1360,140,370,75,5,5,0,0,10,30,0,25,0,0,10,5
1361,155,415,315,15,5,5,5,25,115,0,145,0,0,0,0
1362,80,215,0,0,0,0,0,0,0,0,0,0,0,70,10
1363,265,660,65,5,0,5,0,5,35,5,10,0,0,0,50
1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1368,10,30,30,0,0,0,5,5,10,0,10,0,0,0,0
1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1372,50,120,0,0,0,0,0,0,0,0,0,0,0,5,5
1373,65,145,405,5,0,25,50,40,155,0,130,0,0,20,0
1374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375,0,0,55,0,0,5,10,10,25,0,5,0,0,0,0
1376,110,270,0,0,0,0,0,0,0,0,0,0,0,5,5
1377,115,290,15,0,0,5,0,5,5,0,0,0,0,5,5
1378,0,0,215,0,10,25,5,105,40,15,15,0,0,0,0
1379,95,235,0,0,0,0,0,0,0,0,0,0,0,5,5
1380,170,435,0,0,0,0,0,0,0,0,0,0,0,0,5
1381,120,300,35,0,5,0,0,15,5,5,5,0,0,10,5
1382,165,430,25,0,5,0,0,5,5,5,5,0,0,0,5
1383,25,90,25,0,5,0,0,5,5,5,5,0,0,0,5
1384,235,595,185,0,10,0,0,95,15,30,35,0,0,0,5
1385,60,190,0,0,0,0,0,0,0,0,0,0,0,5,5
1386,55,195,0,0,0,0,0,0,0,0,0,0,0,5,0
1387,60,160,10,0,0,0,0,5,0,5,0,0,0,0,0
1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1392,55,150,0,0,0,0,0,0,0,0,0,0,0,10,5
1393,25,65,20,0,0,0,0,5,5,5,5,0,0,5,0
1394,135,340,225,25,25,0,0,30,55,25,65,0,0,20,5
1395,240,630,0,0,0,0,0,0,0,0,0,0,0,30,10
1396,210,550,10,0,0,0,0,0,10,0,0,0,0,5,5
1397,55,115,5,0,0,0,0,0,5,0,0,0,0,0,5
1398,15,25,5,0,0,0,0,0,0,5,0,0,0,0,5
1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1403,70,185,15,5,0,0,0,5,0,5,0,0,0,5,5
1404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1406,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1423,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1424,60,150,15,5,0,0,0,0,5,0,5,0,0,15,5
1425,115,285,250,175,10,0,0,5,30,5,25,0,0,30,15
1426,35,50,85,55,5,0,0,5,15,0,5,0,0,10,10
1427,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1429,0,0,40,5,5,5,5,5,5,0,10,0,0,0,0
1430,45,40,30,5,0,0,0,5,5,0,15,0,0,0,10
1431,5,15,10,5,0,0,0,0,0,0,5,0,0,0,0
1432,320,775,635,105,10,0,0,345,5,85,85,0,0,5,35
1435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1445,25,45,25,5,0,0,0,5,5,5,5,0,0,0,5
1455,5,10,25,5,5,0,0,5,5,0,5,0,0,0,5
1456,10,5,20,5,0,0,0,5,5,0,5,0,0,0,5
1457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1463,5,10,100,10,10,10,0,20,15,10,25,0,0,0,5
1464,5,5,40,10,5,0,0,5,10,5,5,0,0,5,10
1465,5,25,165,10,0,0,0,55,5,60,35,0,0,20,5
1466,55,125,385,5,5,5,0,260,25,10,75,0,0,0,20
1467,10,10,130,10,5,15,0,65,10,10,15,0,0,40,10
1468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1474,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1475,10,15,20,0,0,0,0,5,5,0,10,0,0,0,0
1476,40,90,140,5,5,5,5,50,20,5,45,0,0,20,5
1477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1478,5,5,5,0,0,0,5,0,0,0,0,0,0,0,0
1481,0,0,60,0,5,10,10,0,15,0,20,0,0,0,0
1482,5,5,70,0,0,20,10,0,20,5,15,0,0,0,10
1483,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1484,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5
1485,0,0,10,0,0,5,0,0,5,0,0,0,0,0,0
1486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1494,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0
1495,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1501,85,115,15,0,0,0,0,0,0,5,10,0,0,20,10
1502,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1503,30,50,45,0,0,5,0,15,5,15,5,0,0,0,5
1504,25,35,0,0,0,0,0,0,0,0,0,0,0,10,5
1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1506,15,5,40,5,5,5,0,5,10,5,5,0,0,5,5
1507,5,10,5,0,0,5,0,0,0,0,0,0,0,0,0
1508,40,45,60,10,5,0,0,10,5,10,20,0,0,5,10
1509,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1510,15,10,0,0,0,0,0,0,0,0,0,0,0,5,0
1511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1512,5,5,10,0,0,0,0,5,0,0,5,0,0,5,0
1517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1518,10,25,25,0,5,0,0,5,5,5,5,0,0,0,5
1519,5,10,525,5,60,5,0,240,60,75,80,0,0,0,5
1520,20,55,40,0,5,0,0,20,10,0,5,0,0,10,5
1521,50,120,220,0,30,5,0,80,20,45,40,0,0,5,15
1522,90,220,520,5,50,5,0,170,55,130,105,0,0,0,15
1523,0,10,25,0,5,0,0,5,5,5,5,0,0,0,5
1524,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1525,40,100,235,0,40,5,0,80,30,40,40,0,0,45,20
1526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1527,50,115,190,0,45,0,0,50,25,35,35,0,0,0,15
1528,35,100,135,0,0,0,0,50,30,50,5,0,0,0,30
1529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1530,10,25,50,0,5,0,0,15,5,10,15,0,0,0,5
1531,5,10,15,0,0,0,0,0,5,5,5,0,0,0,5
1532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1560,10,10,85,10,0,5,5,30,10,10,15,0,0,0,10
1561,45,100,505,5,5,115,0,300,20,15,45,0,0,25,20
1562,85,210,955,5,5,175,0,585,30,20,135,0,0,90,30
1563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1579,5,5,45,20,15,0,0,0,0,0,10,0,0,0,0
1580,5,5,220,0,15,0,5,50,40,80,30,0,0,30,5
1581,190,480,1070,0,90,5,5,150,140,475,205,0,0,5,65
1582,160,395,1405,150,90,5,0,125,85,765,185,0,0,0,45
1583,0,0,40,10,10,0,0,5,0,10,5,0,0,0,0
1584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1594,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1595,25,55,35,0,5,0,0,5,5,10,10,0,0,5,5
1596,1240,3095,0,0,0,0,0,0,0,0,0,0,0,455,45
1603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,10,20,10,0,0,0,0,0,0,10,0,0,0,5,10
1606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0
1608,330,835,65,0,5,0,0,5,5,45,5,0,0,50,35
1609,10,15,75,10,15,0,0,5,10,15,20,0,0,0,5
1610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1623,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1625,75,145,125,0,15,5,0,40,25,30,10,0,0,0,10
1626,5,10,0,0,0,0,0,0,0,0,0,0,0,5,0
1627,120,315,5,0,0,0,0,0,0,5,0,0,0,100,10
1628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1629,120,300,230,0,30,5,0,20,20,130,25,0,0,5,30
1630,15,25,15,0,0,0,0,5,5,0,5,0,0,20,5
1631,630,1565,385,5,55,0,5,160,55,5,100,0,5,170,35
